194261,NL91RABO0315273637,21.6,-41.83,Clothes from Jan Bakker,-22.23
112806,NL27SNSB0917829871,91.23,15.57,Clothes for Willem Dekker,106.8
183049,NL69ABNA0433647324,86.66,44.5,Clothes for Jan King,131.16
183356,NL74ABNA0248990274,92.98,-46.65,Subscription for Peter de Vries,46.33
112806,NL69ABNA0433647324,90.83,-10.91,Clothes for Richard de Vries,79.92
112806,NL93ABNA0585619023,102.12,45.87,Tickets from Richard Bakker,147.99
139524,NL43AEGO0773393871,99.44,41.23,Flowers from Jan Bakker,140.67
179430,NL93ABNA0585619023,23.96,-27.43,Clothes for Vincent Bakker,-3.57
141223,NL93ABNA0585619023,94.25,41.6,Clothes from Erik Bakker,135.85
195446,NL74ABNA0248990274,26.32,48.98,Flowers for Willem Dekker,75.3
141223,NL93ABNA0585619023,94.25,41.6,Clothes from Erik Bakker,135.85
